GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LABgrupal,domain.card,CardDeck,0,148,0,10,0,25,0,11,0,6
LABgrupal,domain.card,NumberCard,0,67,0,10,0,13,0,10,0,5
LABgrupal,domain.card,CardType,0,39,0,0,0,7,0,1,0,1
LABgrupal,domain.card,AbstractCard,0,15,0,0,0,6,0,3,0,3
LABgrupal,domain.card,ActionCard,0,60,0,10,0,11,0,9,0,4
LABgrupal,domain.card,CardUtil,0,46,0,16,0,10,0,12,0,4
LABgrupal,domain.card,WildCard,14,49,2,8,1,11,3,7,1,4
LABgrupal,domain.card,CardColor,0,27,0,0,0,5,0,1,0,1
LABgrupal,domain.game,Game,249,382,31,22,60,99,29,33,5,26
LABgrupal,domain.game,DrawPile,0,22,0,0,0,6,0,3,0,3
LABgrupal,domain.game,CardRules,7,53,0,14,2,10,1,11,1,4
LABgrupal,domain.game,GameUI,0,132,0,0,0,32,0,7,0,7
LABgrupal,domain.game,DealerService,0,115,0,10,0,23,0,9,0,4
LABgrupal,domain.game,GameBuilder,0,96,1,5,0,17,1,7,0,5
LABgrupal,ui.common,StyleUtil,25,73,7,7,7,16,7,7,0,3
LABgrupal,default,UnoApp,24,0,0,0,8,0,4,0,4,0
LABgrupal,domain.player,PlayerRoundIterator,0,80,0,6,0,17,0,10,0,7
LABgrupal,domain.player,Player,5,32,0,0,1,11,1,6,1,6
LABgrupal,domain.player,ImmutablePlayer,0,23,0,0,0,7,0,5,0,5
LABgrupal,domain.player,Direction,0,15,0,0,0,3,0,1,0,1
LABgrupal,domain.player,HandCardList,1,84,1,9,0,16,1,13,0,9
LABgrupal,ui.view,ColorPicker.SingletonHelper,5,0,0,0,1,0,1,0,1,0
LABgrupal,ui.view,CardView,223,0,0,0,60,0,11,0,11,0
LABgrupal,ui.view,PlayerView,409,0,20,0,91,0,26,0,16,0
LABgrupal,ui.view,TableView,156,0,2,0,41,0,5,0,4,0
LABgrupal,ui.view,CardView.new MouseAdapter() {...},32,0,2,0,10,0,5,0,4,0
LABgrupal,ui.view,GameStatusView,169,0,10,0,39,0,12,0,7,0
LABgrupal,ui.view,ColorPicker,47,0,2,0,9,0,4,0,3,0
LABgrupal,ui,AppFrame,105,0,0,0,24,0,3,0,3,0
LABgrupal,application,GameAppService,31,122,2,0,4,29,2,12,1,12
LABgrupal,domain.common,DomainEventPublisher,8,65,3,5,6,17,4,6,1,5
LABgrupal,domain.common,DomainEvent,3,6,0,0,1,3,1,1,1,1
LABgrupal,domain.common,Entity,0,13,0,0,0,6,0,3,0,3
LABgrupal,application.dto,PlayerInfoDTO,0,15,0,0,0,6,0,3,0,3
LABgrupal,domain.game.events,CardDrawn,3,6,0,0,1,3,1,1,1,1
LABgrupal,domain.game.events,CardPlayed,3,12,0,0,1,5,1,2,1,2
LABgrupal,domain.game.events,GameOver,9,0,0,0,4,0,2,0,2,0
